48,"Pocahontas (1995)","1995-06-15","Mike Gabriel","Mel Gibson, Irene Bedard, Linda Hunt, Judy Kuhn, Christian Bale"
50,"Usual Suspects, The (1995)","1995-08-16","Bryan Singer","Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak, Kevin Spacey, Chazz Palminteri, Pete Postlethwaite, Giancarlo Esposito, Suzy Amis, Dan Hedaya, Paul Bartel, Clark Gregg, Louis Lombardi, Vito D'Ambrosio, Peter Greene"
69,"Friday (1995)","1995-04-26","F. Gary Gray","Ice Cube, Tom 'Tiny' Lister Jr., Chris Tucker, Nia Long, Sandra Bernhard"
70,"From Dusk Till Dawn (1996)","1996-01-19","Robert Rodriguez","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, John Saxon, Kelly Preston, John Hawkes, Mike Moroff, Tia Texada"
95,"Broken Arrow (1996)","1996-02-09","John Woo","John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley, Vondie Curtis-Hall, Jack Thompson, Vyto Ruginis, Shaun Toub, Kurtwood Smith, Daniel von Bargen, Carmen Argenziano, James MacDonald, French Stewart, Chris Mulkey, Raymond Cruz"
101,"Bottle Rocket (1996)","1996-02-21","Wes Anderson","Ned Dowd, Luke Wilson, Owen Wilson, Shea Fowler, James Caan"
104,"Happy Gilmore (1996)","1996-02-16","Dennis Dugan","Christopher McDonald, Adam Sandler, Frances Bay, Julie Bowen, Carl Weathers"
110,"Braveheart (1995)","1995-05-24","Mel Gibson","Mel Gibson, Brian Cox, Sophie Marceau, Catherine McCormack, Brendan Gleeson, Patrick McGoohan, Peter Hanly, Tommy Flanagan"
111,"Taxi Driver (1976)","1976-01-01","Martin Scorsese","Robert De Niro, Cybill Shepherd, Peter Boyle, Jodie Foster, Harvey Keitel, Albert Brooks"
141,"Birdcage, The (1996)","1996-03-08","Mike Nichols","Gene Hackman, Nathan Lane, Robin Williams, Dianne Wiest, Dan Futterman, Calista Flockhart, Hank Azaria"
145,"Bad Boys (1995)","1995-04-07","Michael Bay","Will Smith, Martin Lawrence, Tchéky Karyo, Téa Leoni, Theresa Randle, Joe Pantoliano, Marg Helgenberger, Nestor Serrano, Julio Oscar Mechoso, Michael Imperioli, Michael Taliferro, Marc Macaulay, Saverio Guerra, Shaun Toub, Kevin Corrigan, John Salley, Kim Coates"
150,"Apollo 13 (1995)","1995-06-30","Ron Howard","Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinise, Ed Harris"
153,"Batman Forever (1995)","1995-01-01","Joel Schumacher","Jim Carrey, Tommy Lee Jones, Val Kilmer, Nicole Kidman"
158,"Casper (1995)","1995-01-01","Brad Silberling","Chauncey Leopardi, Cathy Moriarty, Eric Idle, Ben Stein, Fred Rogers, Bill Pullman, Christina Ricci, Brad Garrett, Garette Ratliff Henson, Amy Brenneman, Devon Sawa, Dan Aykroyd, Rodney Dangerfield, Clint Eastwood, Mel Gibson"
163,"Desperado (1995)","1995-01-01","Robert Rodriguez","Antonio Banderas, Joaquim de Almeida, Cheech Marin, Salma Hayek, Steve Buscemi, Quentin Tarantino, Danny Trejo, Carlos Gallardo, Jaime de Hoyos, Carlos Gómez"
165,"Die Hard: With a Vengeance (1995)","1995-05-15","John McTiernan","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Nicholas Wyman, Larry Bryggman, Colleen Camp"
170,"Hackers (1995)","1995-09-15","Iain Softley","Jesse Bradford, Matthew Lillard, Jonny Lee Miller, Angelina Jolie, Fisher Stevens"
173,"Judge Dredd (1995)","1995-06-30","Danny Cannon","Sylvester Stallone, Armand Assante, Rob Schneider, Diane Lane, Jürgen Prochnow, Max von Sydow, Joan Chen, Ewen Bremner"
175,"Kids (1995)","1995-07-28","Larry Clark","Joseph Chan, Leo Fitzpatrick, Justin Pierce, Sarah Henderson, Chloë Sevigny, Rosario Dawson"
180,"Mallrats (1995)","1995-10-20","Kevin Smith","Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Joey Lauren Adams, Jason Mewes"
185,"Net, The (1995)","1995-07-28","Irwin Winkler","Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard"
196,"Species (1995)","1995-01-01","Roger Donaldson","Grant Gelt, Ben Kingsley, Michael Madsen, Alfred Molina, Ted Prior, Natasha Henstridge"
208,"Waterworld (1995)","1995-01-01","Kevin Costner","Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Chaim Girafi, Jack Kehler, Tina Majorino, Michael Jeter, Robert Joy, Jack Black, Kim Coates"
215,"Before Sunrise (1995)","1995-01-27","Richard Linklater","Ethan Hawke, Julie Delpy"
216,"Billy Madison (1995)","1995-01-01","Tamra Davis","Darren McGavin, Adam Sandler, Bradley Whitford, Bridgette Wilson"
223,"Clerks (1994)","1994-10-19","Kevin Smith","Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith, Marilyn Ghigliotti, Lisa Spoonauer"
231,"Dumb & Dumber (Dumb and Dumber) (1994)","1994-12-16","Peter Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr, Karen Duffy, Charles Rocket, Victoria Rowell, Joe Baker, Hank Brandt, Teri Garr, Brady Bluhm, Cam Neely, Felton Perry, Brad Lockerman, Rob Moran, Zen Gesner, Lin Shaye, Harland Williams, Traci Adell"
235,"Ed Wood (1994)","1994-09-28","Tim Burton","Johnny Depp, Martin Landau, Patricia Arquette, Sarah Jessica Parker, Bill Murray"
253,"Interview with the Vampire: The Vampire Chronicles (1994)","1994-11-11","Neil Jordan","Tom Cruise, Brad Pitt, Kirsten Dunst, Stephen Rea, Antonio Banderas"
256,"Junior (1994)","1994-11-23","Ivan Reitman","Danny DeVito, Frank Langella, Arnold Schwarzenegger, Emma Thompson"
260,"Star Wars: Episode IV - A New Hope (1977)","1977-05-25","George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, James Earl Jones, Anthony Daniels, Kenny Baker, Peter Mayhew, Denis Lawson, David Prowse"
288,"Natural Born Killers (1994)","1994-08-26","Oliver Stone","Woody Harrelson, Juliette Lewis, Rodney Dangerfield, Tommy Lee Jones, Robert Downey Jr., Richard Lineback, Balthazar Getty, Ed White, O-Lan Jones"
292,"Outbreak (1995)","1995-03-10","Wolfgang Petersen","Morgan Freeman, Dustin Hoffman, Kevin Spacey, Rene Russo, Cuba Gooding Jr., Donald Sutherland, Patrick Dempsey"
293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)","1994-11-18","Luc Besson","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel"
296,"Pulp Fiction (1994)","1994-09-23","Quentin Tarantino","John Travolta, Samuel L. Jackson, Tim Roth, Amanda Plummer, Eric Stoltz, Bruce Willis, Ving Rhames, Phil LaMarr, Maria de Medeiros, Rosanna Arquette, Peter Greene, Uma Thurman, Duane Whitaker, Frank Whaley, Steve Buscemi, Christopher Walken, Julia Sweeney, Alexis Arquette, Kathy Griffin, Quentin Tarantino, Harvey Keitel"
307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)","1993-09-03","Krzysztof Kieslowski","Juliette Binoche, Benoît Régent, Florence Pernel, Charlotte Véry, Hélène Vincent"
308,"Three Colors: White (Trzy kolory: Bialy) (1994)","1994-02-14","Krzysztof Kieslowski","Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr, Aleksander Bardini"
316,"Stargate (1994)","1994-10-28","Roland Emmerich","Kurt Russell, James Spader, Alexis Cruz, Viveca Lindfors, Mili Avital, John Diehl, Leon Rippy, Carlos Lauchu, Djimon Hounsou, Erick Avari, French Stewart, Jaye Davidson, Richard Kind, Sayed Badreya, Kit West"
317,"Santa Clause, The (1994)","1994-11-11","John Pasquin","Tim Allen, Eric Lloyd, Judge Reinhold, Wendy Crewson, David Krumholtz, Larry Brandenburg, Peter Boyle"
318,"Shawshank Redemption, The (1994)","1994-09-23","Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore"
333,"Tommy Boy (1995)","1995-01-01","Peter Segal","Brian Dennehy, Chris Farley, David Spade, Bo Derek"
339,"While You Were Sleeping (1995)","1995-04-21","Jon Turteltaub","Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Jack Warden, Jason Bernard"
344,"Ace Ventura: Pet Detective (1994)","1994-02-04","Tom Shadyac","Jim Carrey, Courteney Cox, Sean Young, Tone Loc"
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","1994-08-10","Stephan Elliott","Bill Hunter, Guy Pearce, Terence Stamp, Hugo Weaving"
349,"Clear and Present Danger (1994)","1994-08-03","Phillip Noyce","Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Raymond Cruz, Dean Jones, Thora Birch, Ann Magnuson, Hope Lange, Belita Moreno, James Earl Jones, Jaime Gomez, Greg Germann, Ellen Geer, Ted Raimi, Vondie Curtis-Hall, John Lafayette, Rex Linn, Ken Howard, Clark Gregg, Patrick Bauchau, Tom Bower"
353,"Crow, The (1994)","1994-05-11","Alex Proyas","Ernie Hudson, David Patrick Kelly, Brandon Lee, Michael Wincott, Ling Bai"
356,"Forrest Gump (1994)","1994-07-06","Robert Zemeckis","Tom Hanks, Gary Sinise, Mykelti Williamson, Robin Wright Penn, Sally Field"
357,"Four Weddings and a Funeral (1994)","1994-01-01","Mike Newell","Hugh Grant, John Hannah, Kristin Scott Thomas, Andie MacDowell, Rowan Atkinson, James Fleet, Simon Callow, Charlotte Coleman"
364,"Lion King, The (1994)","1994-06-24","Roger Allers","Matthew Broderick, James Earl Jones, Rowan Atkinson, Jonathan Taylor Thomas, Niketa Calame, Moira Kelly, Ernie Sabella, Nathan Lane, Whoopi Goldberg, Cheech Marin, Jim Cummings"
367,"Mask, The (1994)","1994-07-29","Chuck Russell","Jim Carrey, Peter Greene, Peter Riegert, Amy Yasbeck, Cameron Diaz"
368,"Maverick (1994)","1994-05-20","Richard Donner","James Garner, Mel Gibson, Graham Greene, Jodie Foster, James Coburn, Alfred Molina, Dan Hedaya"
377,"Speed (1994)","1994-06-10","Jan de Bont","Dennis Hopper, Joe Morton, Keanu Reeves, Sandra Bullock"
380,"True Lies (1994)","1994-07-15","James Cameron","Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton, Tia Carrere, Art Malik, Eliza Dushku, Grant Heslov, Charlton Heston, Marshall Manesh, James Allen, "
407,"In the Mouth of Madness (1995)","1995-01-01","John Carpenter","Charlton Heston, Sam Neill, Jürgen Prochnow, Julie Carmen"
410,"Addams Family Values (1993)","1993-11-19","Barry Sonnenfeld","Raul Julia, Christopher Lloyd, Joan Cusack, Anjelica Huston, Christina Ricci, Carol Kane, David Krumholtz, Dana Ivey, Peter MacNicol, Christine Baranski"
434,"Cliffhanger (1993)","1993-05-28","Renny Harlin","John Lithgow, Michael Rooker, Sylvester Stallone, Janine Turner, Paul Winfield"
435,"Coneheads (1993)","1993-07-23","Steve Barron","Dan Aykroyd, Michael McKean, Michelle Burke, Jane Curtin"
441,"Dazed and Confused (1993)","1993-01-01","Richard Linklater","Jason London, Rory Cochrane, Wiley Wiggins, Sasha Jenson, Michelle Burke, Adam Goldberg, Anthony Rapp, Matthew McConaughey, Marissa Ribisi, Shawn Andrews, Cole Hauser, Milla Jovovich, Joey Lauren Adams, Christin Hinojosa, Ben Affleck, Parker Posey, Renée Zellweger"
442,"Demolition Man (1993)","1993-10-08","Marco Brambilla","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne, Benjamin Bratt, Bob Gunton, Glenn Shadix, Denis Leary, Jack Black, Jesse Ventura, Adrienne Barbeau, Rob Schneider"
454,"Firm, The (1993)","1993-01-01","Sydney Pollack","Tom Cruise, Gene Hackman, Hal Holbrook, Jeanne Tripplehorn"
457,"Fugitive, The (1993)","1993-08-06","Andrew Davis","Harrison Ford, Tommy Lee Jones, Julianne Moore, Sela Ward"
480,"Jurassic Park (1993)","1993-06-11","Steven Spielberg","Richard Attenborough, Jeff Goldblum, Sam Neill, Laura Dern"
485,"Last Action Hero (1993)","1993-01-01","John McTiernan","F. Murray Abraham, Art Carney, Charles Dance, Austin O'Brien, Arnold Schwarzenegger"
500,"Mrs. Doubtfire (1993)","1993-11-24","Chris Columbus","Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Robert Prosky"
508,"Philadelphia (1993)","1993-12-23","Jonathan Demme","Tom Hanks, Denzel Washington, Jason Robards, Robert Ridgely, Antonio Banderas"
509,"Piano, The (1993)","1993-11-12","Jane Campion","Harvey Keitel, Sam Neill, Holly Hunter, Anna Paquin"
527,"Schindler's List (1993)","1993-11-30","Steven Spielberg","Ralph Fiennes, Ben Kingsley, Liam Neeson, Caroline Goodall, Jonathan Sagall, Embeth Davidtz"
539,"Sleepless in Seattle (1993)","1993-06-25","Nora Ephron","Tom Hanks, Meg Ryan, Bill Pullman, Ross Malinger, Rosie O'Donnell, Gaby Hoffmann, Victor Garber, Rita Wilson"
541,"Blade Runner (1982)","1982-06-25","Ridley Scott","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah"
551,"Nightmare Before Christmas, The (1993)","1993-10-13","Henry Selick","Danny Elfman, William Hickey, Chris Sarandon, Catherine O'Hara"
555,"True Romance (1993)","1993-01-01","Tony Scott","Dennis Hopper, Val Kilmer, Christian Slater, Patricia Arquette, Gary Oldman, Brad Pitt, Christopher Walken, Samuel L. Jackson, Michael Rapaport, Saul Rubinek, James Gandolfini"
586,"Home Alone (1990)","1990-11-16","Chris Columbus","Macaulay Culkin, John Heard, Joe Pesci, Daniel Stern, Catherine O'Hara"
587,"Ghost (1990)","1990-07-13","Jerry Zucker","Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn, Vincent Schiavelli, Stephen Root"
588,"Aladdin (1992)","1992-11-25","Ron Clements","Jonathan Freeman, Scott Weinger, Robin Williams, Linda Larkin"
589,"Terminator 2: Judgment Day (1991)","1991-07-01","James Cameron","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Joe Morton, Earl Boen, Danny Cooksey"
590,"Dances with Wolves (1990)","1990-11-21","Kevin Costner","Kevin Costner, Rodney A. Grant, Graham Greene, Mary McDonnell"
592,"Batman (1989)","1989-06-23","Tim Burton","Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl, Pat Hingle"
593,"Silence of the Lambs, The (1991)","1991-02-14","Jonathan Demme","Jodie Foster, Anthony Hopkins, Scott Glenn, Anthony Heald, Ted Levine"
594,"Snow White and the Seven Dwarfs (1937)","1938-02-04","David Hand","Adriana Caselotti, Lucille La Verne, Roy Atwell, Eddie Collins, Pinto Colvig, Billy Gilbert, Otis Harlan, Scotty Mattraw"
595,"Beauty and the Beast (1991)","1991-11-22","Gary Trousdale","Robby Benson, Jerry Orbach, Richard White, Paige O'Hara"
596,"Pinocchio (1940)","1940-02-07","Hamilton Luske","Dickie Jones, Christian Rub, Cliff Edwards, Mel Blanc, Evelyn Venable"
597,"Pretty Woman (1990)","1990-03-23","Garry Marshall","Julia Roberts, Richard Gere, Jason Alexander, Ralph Bellamy, Hector Elizondo"
608,"Fargo (1996)","1996-03-08","Joel Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Harve Presnell, Patrice Chéreau, Julien Temple"
628,"Primal Fear (1996)","1996-04-03","Gregory Hoblit","Richard Gere, Edward Norton, John Mahoney, Laura Linney"
648,"Mission: Impossible (1996)","1996-05-22","Brian De Palma","Tom Cruise, Henry Czerny, Jon Voight, Emmanuelle Béart, Jean Reno, Ving Rhames, Kristin Scott Thomas, Vanessa Redgrave"
653,"Dragonheart (1996)","1996-05-31","Rob Cohen","Dennis Quaid, David Thewlis, Sean Connery, Dina Meyer, Pete Postlethwaite, Jason Isaacs"
661,"James and the Giant Peach (1996)","1996-04-12","Henry Selick","Simon Callow, Richard Dreyfuss, Susan Sarandon, Jane Leeves, Joanna Lumley"
673,"Space Jam (1996)","1996-11-15","Joe Pytka","Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington,"
724,"Craft, The (1996)","1996-05-03","Andrew Fleming","Fairuza Balk, Neve Campbell, Rachel True, Robin Tunney, Skeet Ulrich"
733,"Rock, The (1996)","1996-06-07","Michael Bay","Sean Connery, Nicolas Cage, Ed Harris, John Spencer, David Morse, William Forsythe, Michael Biehn, Vanessa Marcil, John C. McGinley, Tony Todd, Bokeem Woodbine, Steve Harris, Danny Nucci, Claire Forlani, Todd Louiso, David Bowe, Willie Garson, Anthony Clark, Raymond O'Connor, James Caviezel, Buck Kartalian, Stanley Anderson, Xander Berkeley, Raymond Cruz, Philip Baker Hall, Stuart Wilson"
736,"Twister (1996)","1996-05-10","Jan de Bont","Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz, Philip Seymour Hoffman, Lois Smith, Alan Ruck"
741,"Ghost in the Shell (Kôkaku kidôtai) (1995)","1996-03-29","Mamoru Oshii","Atsuko Tanaka, Akio Ôtsuka, Tamio Ôki, Iemasa Kayumi, Kôichi Yamadera"
750,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)","1964-01-29","Stanley Kubrick","Peter Sellers, George C. Scott, Sterling Hayden, Slim Pickens, Keenan Wynn"
778,"Trainspotting (1996)","1996-07-19","Danny Boyle","Ewan McGregor, Jonny Lee Miller, Ewen Bremner, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan"
780,"Independence Day (a.k.a. ID4) (1996)","1996-07-03","Roland Emmerich","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Randy Quaid"
784,"Cable Guy, The (1996)","1996-06-14","Ben Stiller","Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black, George Segal, Diane Baker, Ben Stiller, Eric Roberts, Janeane Garofalo, Andy Dick, David Cross, Owen Wilson, Tommy Hinkley, Joel Murray, Kathy Griffin, Aki Aleong, Sean Whalen, Christopher Michael, Emilio Rivera, Bob Odenkirk, Annabelle Gurwitch, Blake Boyd, Christine Devine, Mark Thompson, Kyle Gass, David Bowe, Alex D. Linz"
788,"Nutty Professor, The (1996)","1996-06-28","Tom Shadyac","James Coburn, Larry Miller, Eddie Murphy, Jada Pinkett Smith"
802,"Phenomenon (1996)","1996-06-03","Jon Turteltaub","Robert Duvall, John Travolta, Forest Whitaker, Kyra Sedgwick"
805,"Time to Kill, A (1996)","1996-07-24","Joel Schumacher","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey, Oliver Platt, Charles S. Dutton, Brenda Fricker, Donald Sutherland, Kiefer Sutherland, Patrick McGoohan, Ashley Judd, John Diehl, Chris Cooper, Nicky Katt, Doug Hutchison, Kurtwood Smith, Beth Grant, Anthony Heald, Mike Pniewski, Octavia Spencer, M. Emmet Walsh"
837,"Matilda (1996)","1996-08-02","Danny DeVito","Danny DeVito, Embeth Davidtz, Rhea Perlman, Mara Wilson, Pam Ferris"
858,"Godfather, The (1972)","1972-01-01","Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Al Martino, Alex Rocco"
899,"Singin' in the Rain (1952)","1952-03-27","Stanley Donen","Gene Kelly, Donald O'Connor, Jean Hagen, Debbie Reynolds, Cyd Charisse, Rita Moreno"
902,"Breakfast at Tiffany's (1961)","1961-10-05","Blake Edwards","Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam, Mickey Rooney"
903,"Vertigo (1958)","1958-05-09","Alfred Hitchcock","James Stewart, Barbara Bel Geddes, Kim Novak, Tom Helmore, Henry Jones, Ellen Corby"
904,"Rear Window (1954)","1954-08-01","Alfred Hitchcock","James Stewart, Grace Kelly, Thelma Ritter, Wendell Corey, Raymond Burr"
908,"North by Northwest (1959)","1959-07-17","Alfred Hitchcock","Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll"
909,"Apartment, The (1960)","1960-06-21","Billy Wilder","Jack Lemmon, Fred MacMurray, Shirley MacLaine, Ray Walston"
910,"Some Like It Hot (1959)","1959-03-29","Billy Wilder","Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft, Pat O'Brien"
912,"Casablanca (1942)","1942-12-26","Michael Curtiz","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Sydney Greenstreet, Peter Lorre, Dooley Wilson, Conrad Veidt"
913,"Maltese Falcon, The (1941)","1941-10-03","John Huston","Humphrey Bogart, Peter Lorre, Mary Astor, Elisha Cook Jr., Gladys George, Sydney Greenstreet"
919,"Wizard of Oz, The (1939)","1939-08-25","Victor Fleming","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Margaret Hamilton"
920,"Gone with the Wind (1939)","1939-12-28","Victor Fleming","Clark Gable, Vivien Leigh, Leslie Howard, Olivia de Havilland, Thomas Mitchell, Hattie McDaniel, Butterfly McQueen"
922,"Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)","1950-08-04","Billy Wilder","William Holden, Gloria Swanson, Erich von Stroheim"
923,"Citizen Kane (1941)","1941-05-01","Orson Welles","Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick"
924,"2001: A Space Odyssey (1968)","1968-04-02","Stanley Kubrick","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Douglas Rain"
953,"It's a Wonderful Life (1946)","1946-12-20","Frank Capra","James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Samuel S. Hinds,Frank Albertson,Sheldon Leonard,Frank Hagney,Charles Lane,Ellen Corby,Charles Halton,Carl 'Alfalfa' Switzer"
968,"Night of the Living Dead (1968)","1968-10-01","George A. Romero","Karl Hardman, Duane Jones, Marilyn Eastman, Judith O'Dea"
969,"African Queen, The (1951)","1951-12-23","John Huston","Peter Bull, Theodore Bikel, Humphrey Bogart, Katharine Hepburn, Robert Morley, Walter Gotell"
1028,"Mary Poppins (1964)","1964-01-01","Robert Stevenson","David Tomlinson, Dick Van Dyke, Julie Andrews, Glynis Johns"
1029,"Dumbo (1941)","1941-10-23","Ben Sharpsteen","Herman Bing, Edward Brophy, Verna Felton, Sterling Holloway, Jim Carmichael"
1032,"Alice in Wonderland (1951)","1951-07-26","Clyde Geronimi","Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway, Verna Felton"
1035,"Sound of Music, The (1965)","1965-03-02","Robert Wise","Julie Andrews, Christopher Plummer, Richard Haydn, Eleanor Parker, Charmian Carr"
1036,"Die Hard (1988)","1988-07-15","John McTiernan","Bruce Willis, Bonnie Bedelia, Alan Rickman, William Atherton, Paul Gleason, Reginald VelJohnson, Robert Davi"
1059,"William Shakespeare's Romeo + Juliet (1996)","1996-10-25","Baz Luhrmann","Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau, Pete Postlethwaite, Paul Sorvino, Brian Dennehy, Paul Rudd, Vondie Curtis-Hall, Miriam Margolyes, Jesse Bradford, M. Emmet Walsh, Zak Orth, Jamie Kennedy, Dash Mihok, Diane Venora, Mario Cimarro"
1061,"Sleepers (1996)","1996-10-18","Barry Levinson","Kevin Bacon, Billy Crudup, Jason Patric, Brad Pitt, Terry Kinney, Robert De Niro, Ron Eldard, Dustin Hoffman, Minnie Driver, Brad Renfro, Vittorio Gassman"
1073,"Willy Wonka & the Chocolate Factory (1971)","1971-06-30","Mel Stuart","Gene Wilder, Peter Ostrum, Jack Albertson, Julie Dawn Cole, Roy Kinnear, Denise Nickerson"
1079,"Fish Called Wanda, A (1988)","1988-01-01","John Cleese","John Cleese, Kevin Kline, Michael Palin, Jamie Lee Curtis"
1080,"Monty Python's Life of Brian (1979)","1979-01-01","Terry Jones","Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Michael Palin"
1086,"Dial M for Murder (1954)","1954-05-29","Alfred Hitchcock","Robert Cummings, Ray Milland, John Williams, Grace Kelly"
1088,"Dirty Dancing (1987)","1987-08-17","Emile Ardolino","Jerry Orbach, Patrick Swayze, Jennifer Grey, Cynthia Rhodes"
1089,"Reservoir Dogs (1992)","1992-01-21","Quentin Tarantino","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi, Lawrence Tierney, Edward Bunker, Quentin Tarantino, Randy Brooks, Kirk Baltz, Steven Wright"
1090,"Platoon (1986)","1986-01-01","Oliver Stone","Tom Berenger, Willem Dafoe, Charlie Sheen, Forest Whitaker"
